order_id,product_id,quantity,unit_price,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,Month,Day,Hour,total_value
1961864118,642612,3,517.03,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,63230,4771,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57,Urishilla Hegde,ydeo@example.org,910400446367,"H.No. 330
Rana Path, Sagar 712033",Allahabad,911359,2024-09-02,Regular,13,749.95,July,Wednesday,8,1551.09
1549769649,378676,1,881.42,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,14983,7534,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65,Ranveer Mahal,phegde@example.org,912292591574,"49, Sarkar Zila, Navi Mumbai-077374",Thrissur,856100,2023-11-07,New,5,958.06,May,Tuesday,13,881.42
9185164487,741341,2,923.84,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,UPI,39859,9886,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,13,62,Aarna Bawa,kondajagdish@example.com,912719661653,"14/351, Agarwal Path
Medininagar 636193",Vellore,117423,2024-01-05,Inactive,4,327.93,September,Monday,13,1847.68
9644738826,561860,1,874.78,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,61497,7917,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90,Aayush Sengupta,lekha10@example.com,913367647372,"20/47
Ratta Chowk, Sonipat-022522",Gaya,288459,2023-12-25,Premium,5,273.38,November,Friday,16,874.78
5427684290,602241,2,976.55,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,84315,2741,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75,Vansha Kuruvilla,xalak62@example.com,912910638833,"H.No. 68, Gaba Road
Khandwa 040880",Asansol,149383,2024-10-02,Premium,14,763.1,November,Monday,5,1953.1
3265154092,681063,1,321.28,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,UPI,554,3442,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,20,91,Chasmum Ramesh,jom@example.com,913254450285,"H.No. 620
Krishnamurthy Nagar, Pudukkottai-019414",Gopalpur,276624,2023-12-14,New,19,1861.66,March,Saturday,16,321.28
4898355547,56589,3,517.77,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,14630,1318,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,16,85,Irya Dayal,shamanbir@example.org,914376337070,"H.No. 614, Sehgal Path
Akola-450080",Phagwara,363237,2024-04-11,Regular,9,449.79,April,Sunday,18,1553.31
6568151549,500739,2,359.98,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,67714,115,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,Osha Dora,ebatta@example.net,913251161123,"H.No. 022, Bava Street, Srikakulam-979419",South Dumdum,65460,2023-11-01,Premium,6,506.63,March,Sunday,6,719.96
6006693867,490939,1,80.25,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,91362,9021,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,12,67,Vasana Sen,hseshadri@example.org,913695033990,"H.No. 687, Seshadri Street
Ajmer-267864",Kamarhati,185526,2023-12-04,Regular,17,1262.44,July,Thursday,23,80.25
374186990,760828,2,563.45,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,77203,7955,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,23,93,Lipika Parmer,gavinprabhakar@example.net,910213519763,"00/455, Chakraborty Road, Jammu 801712",Sirsa,414814,2024-09-27,Regular,5,305.65,August,Wednesday,1,1126.9
4455336265,753354,3,423.56,43431724,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,On Time,2362.33,UPI,64046,3784,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,20,52,Jack Kalita,calebdewan@example.com,912843679556,"41/500, Sachdev Marg, Jhansi-452338",Rohtak,217110,2023-11-26,New,2,813.0,August,Wednesday,19,1270.68
3539286337,684939,1,727.95,77559557,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,On Time,1463.8,Wallet,94899,2463,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95,1119.92,35.0,365,22,50,Akshay Varty,balendra63@example.com,917909370826,"44
Dube Path
Jammu-898608",Madurai,639717,2023-08-28,New,9,601.15,April,Tuesday,20,727.95
9171116867,500739,3,359.98,87107263,2023-10-22 11:15:33,2023-10-22 11:25:33,2023-10-22 11:37:33,Slightly Delayed,822.63,Card,73907,6899,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,Lakshmi Arora,parmarvansha@example.org,918888108591,"38/541
Hari Street, Faridabad 486542",Vijayawada,784029,2024-10-02,Inactive,9,1659.56,October,Sunday,11,1079.94
5504941865,540618,1,317.05,76512976,2024-01-28 02:39:11,2024-01-28 02:55:11,2024-01-28 03:06:11,Slightly Delayed,2287.68,Wallet,56077,9809,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,28,87,Yashica Pathak,baradlajita@example.com,910178223956,"26/72, Sama Chowk
Aligarh 358311",Belgaum,874947,2024-07-27,New,5,279.89,January,Sunday,2,317.05
5868326481,53833,3,134.69,37556526,2024-03-15 21:07:07,2024-03-15 21:24:07,2024-03-15 21:21:07,On Time,1962.35,Wallet,94140,3106,Rice,Grocery & Staples,Tella-Master,134.69,158.46,15.0,365,26,89,Anjali Varkey,triveni48@example.org,916293872154,"H.No. 66, D’Alia Zila
Muzaffarpur-364745",Farrukhabad,243420,2024-06-14,Inactive,18,1200.18,March,Friday,21,404.07
2137046916,455755,2,44.09,12059049,2024-02-03 08:50:32,2024-02-03 09:03:32,2024-02-03 09:01:32,On Time,3373.96,UPI,12377,1007,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53,Jagdish Mander,wpall@example.net,914436092312,"47/938, Chandra
Ichalkaranji-922446",Nizamabad,696590,2024-09-23,Regular,17,235.4,February,Saturday,8,88.18
8195544338,131937,1,287.81,26199489,2023-04-26 04:03:57,2023-04-26 04:20:57,2023-04-26 04:28:57,Slightly Delayed,845.71,Wallet,102,3809,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,18,68,Aarna Gola,hemang36@example.org,915848826456,"28/92
Banerjee Zila
Singrauli-249881",Serampore,555849,2024-07-15,Inactive,11,479.65,April,Wednesday,4,287.81
2889700050,798639,1,211.25,84848018,2024-04-30 16:22:26,2024-04-30 16:33:26,2024-04-30 16:36:26,On Time,2706.54,Wallet,45032,78,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25,264.06,20.0,7,12,78,Jackson Roy,janijanaki@example.org,919467722828,"069, Prakash Marg, Mira-Bhayandar 031507",Alappuzha,275189,2023-06-26,Regular,19,557.81,April,Tuesday,16,211.25
65827885,324809,3,608.0,47577193,2023-07-27 00:13:05,2023-07-27 00:25:05,2023-07-27 00:20:05,On Time,1132.98,Cash,1108,3817,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,26,76,Chaaya Wable,zvenkatesh@example.net,916830988927,"41/37, Raja Marg
Tumkur-353412",Dehri,410068,2024-02-05,Premium,16,1578.87,July,Thursday,0,1824.0
4656471694,679284,1,877.89,60728956,2023-12-09 08:08:08,2023-12-09 08:27:08,2023-12-09 08:35:08,Slightly Delayed,1525.5,Cash,62782,5739,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,28,95,Andrew Nigam,nitara58@example.net,912558012921,"29/168, Srinivas
Bijapur 827761",Khandwa,785737,2023-06-26,Premium,15,1764.25,December,Saturday,8,877.89
6625178717,952168,3,236.95,62068277,2023-07-01 04:24:22,2023-07-01 04:40:22,2023-07-01 04:53:22,Slightly Delayed,5718.09,Card,74906,2130,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",236.95,364.54,35.0,90,28,79,Zarna Shetty,kumerzansi@example.org,913151597352,"H.No. 12, Kale Chowk
New Delhi 521199",Hosur,397881,2024-03-03,Regular,6,1515.17,July,Saturday,4,710.8499999999999
7169557514,706112,2,478.79,84824280,2023-03-21 05:27:13,2023-03-21 05:38:13,2023-03-21 05:50:13,Slightly Delayed,2970.9,Card,79516,9535,Vitamins,Pharmacy,"Magar, Gara and Garg",478.79,598.49,20.0,365,12,77,Kamya Narayan,bhavyabakshi@example.com,910116395700,"92/87, Golla Road, Bihar Sharif 337412",Ongole,989821,2024-05-09,Inactive,17,1752.91,March,Tuesday,5,957.58
2268306684,812607,2,416.65,66742602,2024-05-28 14:59:08,2024-05-28 15:11:08,2024-05-28 15:10:08,On Time,2991.57,Wallet,65733,6847,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,11,63,Yatan Uppal,hchakraborty@example.net,913358190164,"18
Bala Zila, Katni 101174",Jalna,749857,2023-07-01,New,14,1981.09,May,Tuesday,14,833.3
6905293278,799952,1,922.64,97259564,2024-06-16 10:23:23,2024-06-16 10:36:23,2024-06-16 11:02:23,Significantly Delayed,1404.68,Cash,53868,4187,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7,13,66,Watika Narayanan,soommen@example.com,914465932360,"H.No. 97, Sule Ganj
Moradabad 014721",Khammam,14378,2024-02-18,Premium,6,1047.69,June,Sunday,10,922.64
1769493463,709916,3,33.76,3292927,2024-06-26 07:13:47,2024-06-26 07:29:47,2024-06-26 07:24:47,On Time,2541.32,Wallet,22954,7071,Detergent,Household Care,Varkey LLC,33.76,45.01,25.0,365,30,88,Nisha Iyer,vdalia@example.org,910256207668,"H.No. 13, Dash Path, Bhatpara-468793",Rewa,320465,2024-01-12,New,6,1795.72,June,Wednesday,7,101.28
5003387344,67197,3,552.2,26592009,2024-06-23 10:53:47,2024-06-23 11:05:47,2024-06-23 11:00:47,On Time,2475.69,Wallet,21004,7477,Butter,Dairy & Breakfast,Shetty-Bora,552.2,690.25,20.0,7,20,79,Michael Dhingra,mdasgupta@example.org,918994317959,"H.No. 28, Vasa Road
Nagpur 397247",Adoni,16283,2023-11-02,Premium,14,317.83,June,Sunday,10,1656.6000000000001
2064484752,937542,3,97.04,89995124,2024-05-07 22:42:49,2024-05-07 23:00:49,2024-05-07 22:55:49,On Time,1949.92,Wallet,43022,1116,Wheat Flour,Grocery & Staples,Khurana and Sons,97.04,114.16,15.0,365,28,93,Gauri Butala,ranveeranne@example.org,915746130106,"890, Sastry, Narasaraopet-405280",Muzaffarpur,833041,2023-10-29,Premium,6,995.42,May,Tuesday,22,291.12
964822979,455755,2,44.09,88520326,2024-07-13 10:38:00,2024-07-13 10:49:00,2024-07-13 10:47:00,On Time,5804.23,Wallet,42914,7603,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53,Chasmum Dhaliwal,sarora@example.org,912277505609,"65/481, Solanki Zila, Hosur 461150",Asansol,37026,2023-11-26,Premium,14,1537.05,July,Saturday,10,88.18
6037899648,669378,1,212.14,22738465,2024-03-27 17:44:43,2024-03-27 18:00:43,2024-03-27 18:04:43,On Time,1231.03,Cash,59131,914,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3,23,70,Gabriel Oak,advayluthra@example.com,918378521079,"42/463
Rana Street, Chennai 439851",Narasaraopet,890953,2023-07-02,Inactive,16,1903.09,March,Wednesday,17,212.14
9347571484,112390,2,877.98,29562072,2024-11-02 17:15:15,2024-11-02 17:26:15,2024-11-02 17:39:15,Slightly Delayed,3138.06,Card,88612,9615,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",877.98,1350.74,35.0,365,23,85,Edhitha Ranganathan,yashawini55@example.net,914683223867,"09, Soman Marg, Guna 345092",Hindupur,976259,2023-08-10,New,10,1449.0,November,Saturday,17,1755.96
3286177534,891833,1,493.19,10225164,2023-06-24 23:52:15,2023-06-25 00:09:15,2023-06-25 00:07:15,On Time,3612.26,Wallet,90038,6046,Curd,Dairy & Breakfast,Mani PLC,493.19,616.49,20.0,7,11,69,Siya Parmer,watika42@example.net,915830822437,"51/60
Chawla
Darbhanga-169445",Dehri,625283,2024-09-25,Inactive,20,491.07,June,Saturday,23,493.19
